"name","radius km","type"
"Marion 506","52.97","belt asteroid type XC"
"Adelinda 229","52.956","belt asteroid type BCU"
"Ophelia 171","52.507","belt asteroid type C; Themis family"
"Pabu Borasisi I","52.5","secondary of 66652 Borasisi"
"Rollandia 1269","52.447","outer belt asteroid type D"
"Mandeville 739","52.259","belt asteroid type X"
"Corduba 365","52.255","belt asteroid type X/type C"
"Eos 221","51.76","belt asteroid type S/type K"
"Aegina 91","51.701","belt asteroid type C"
"Leukothea 35","51.528","belt asteroid type C"
"Menoetius Patroclus I","51.4","secondary of 617 Patroclus"
"Isis 42","51.365","belt asteroid type S"
"Tauris 814","51.115","belt asteroid type C"
"Helga 522","50.61","belt asteroid type X; Cybele asteroid"
"Flammario 1021","50.383","belt asteroid type F"
"Klotho 97","50.359","belt asteroid type M"
"Aquitania 387","50.255","belt asteroid type S"
"Troilus 1208","50.239","Jupiter trojan (L5) type FCU"
"Eva 164","50.127","belt asteroid type CX/type X"
